COUNTY,FAST FOOD RESTAURANTS 2011 COUNT,FAST FOOD RESTAURANTS 2016 COUNT,FAST FOOD RESTAURANTS PERCENTAGE CHANGE 2011-2016,FAST FOOD RESTAURANTS PER 1000 POP COUNT 2011,FAST FOOD RESTAURANTS PER 1000 POP COUNT 2016,FAST FOOD RESTAURANTS PER 1000 POP COUNT PERCENTAGE CHANGE 2011-2016
ATLANTIC,205,197,-3.902439,0.745165,0.727394,-2.384848
BERGEN,726,783,7.85124,0.794108,0.830869,4.629162
BURLINGTON,332,318,-4.216867,0.736982,0.70928,-3.758826
CAMDEN,374,393,5.080214,0.728789,0.76947,5.582015
CAPE MAY,180,170,-5.555556,1.864107,1.810051,-2.899808
CUMBERLAND,103,93,-9.708738,0.6556,0.604234,-7.835027
ESSEX,509,573,12.573674,0.64642,0.712797,10.268358
GLOUCESTER,168,198,17.857143,0.5801,0.678773,17.009485
HUDSON,490,513,4.693878,0.755451,0.747387,-1.067412
HUNTERDON,85,95,11.764706,0.667373,0.759629,13.823748
MERCER,266,299,12.406015,0.722431,0.800193,10.763815
MIDDLESEX,593,643,8.431703,0.725303,0.765489,5.54053
MONMOUTH,491,524,6.720978,0.779666,0.836016,7.227525
MORRIS,388,398,2.57732,0.782777,0.797845,1.924855
OCEAN,405,416,2.716049,0.699286,0.701584,0.328585
PASSAIC,342,347,1.461988,0.677937,0.678709,0.113898
SALEM,33,31,-6.060606,0.500888,0.490833,-2.007519
SOMERSET,252,271,7.539683,0.771593,0.810472,5.038797
SUSSEX,84,75,-10.714286,0.566932,0.5271,-7.025841
UNION,339,382,12.684366,0.62627,0.680798,8.706817
WARREN,79,83,5.063291,0.730008,0.776826,6.413395